values:Date,close,high,low,open,volume
20140602,552.4133,559.3643,544.2358,559.1649,1435000
20140603,543.4480,550.8278,541.0645,549.4814,1866600
20140604,543.1687,547.1079,537.2749,540.0174,1816500
20140605,552.3835,553.4305,542.9593,544.9040,1689100
20140606,554.8068,556.5320,547.4270,556.5320,1736800
20140609,560.5809,561.3588,554.5176,555.6246,1467500
20140610,559.0152,562.0568,556.3725,558.9753,1351700
20140611,557.3099,558.3470,553.5004,556.4722,1100100
20140612,549.8404,556.4622,546.9584,555.7741,1458500
20140613,550.2493,550.7878,544.0663,550.7479,1220500
20140616,542.7898,548.1151,540.0374,547.7562,1702600
20140617,541.5233,543.8269,537.8533,542.7100,1444600
20140618,551.8549,552.0444,542.5106,543.3682,1741800
20140619,553.3807,553.4804,547.0082,552.7225,2456800
20140620,554.8367,556.0533,548.8851,555.3253,4508300
20140623,563.4032,563.4531,552.7325,553.6300,1536800
20140624,563.0741,571.0781,559.4740,563.6425,2207100
20140625,577.0657,578.3721,563.6724,563.7123,1969400
20140626,574.4229,580.8553,570.2842,579.4092,1742000
20140627,575.6595,578.2823,572.2289,575.5997,2236900
20140630,573.7049,577.9832,573.1763,577.0756,1313800
20140701,581.0746,582.7999,575.0712,576.7366,1448000
20140702,580.7406,583.8371,578.8009,581.7527,1056400
20140703,583.1290,583.4083,579.3294,581.7527,714200
20140707,580.6558,584.8243,578.0031,582.1617,1064600
20140708,569.5264,577.9413,564.5850,576.0784,1909500
20140709,574.5027,575.1409,567.8170,570.0150,1116800
20140710,569.5363,575.0114,563.4630,564.3605,1356700
20140711,577.5942,579.2596,569.8555,570.3441,1621700
20140714,583.2686,583.6077,576.4474,581.0048,1854100
20140715,583.1789,584.2010,574.9814,584.1362,1623000
20140716,581.0646,586.7890,580.6060,586.3901,1397100
20140717,572.1591,579.3992,567.0532,577.9433,3016600
20140718,593.4507,595.1660,580.4065,591.3764,4014200
20140721,587.8560,592.7726,583.6306,590.1298,2062100
20140722,593.1116,598.0082,588.9829,589.1026,1699200
20140723,594.3482,596.2131,590.8777,591.6057,1233200
20140724,591.7254,597.8586,590.1498,594.8170,1035100
20140725,587.4073,590.2395,585.4227,588.7835,932500
20140728,588.9829,590.8777,583.1520,586.4599,986800
20140729,584.0066,588.0854,581.9174,587.1380,1349900
20140730,585.8116,587.8860,582.4010,584.9440,1016500
20140731,570.0349,582.0520,568.4393,579.0103,2102800
20140801,564.5201,574.3831,561.3089,568.8383,1955300
20140804,571.5807,573.7747,562.5555,567.4819,1427300
20140805,563.5229,570.4139,561.0696,568.4892,1551200
20140806,564.8233,569.1375,558.4667,560.2419,1334400
20140807,561.8175,568.3297,559.5637,566.4448,1110900
20140808,567.2128,568.6887,558.8157,562.0170,1494800
20140811,566.3251,568.9280,564.4503,568.4294,1214700
20140812,561.1893,564.3506,559.3444,562.9744,1542000
20140813,573.2063,573.4257,564.2010,565.7567,1441800
20140814,573.0767,576.3177,569.3170,574.6024,985500
20140815,571.9098,577.7936,568.9579,576.2778,1519200
20140818,580.5660,582.9096,574.4229,574.5326,1284100
20140819,585.2532,585.7319,582.4010,583.3983,978700
20140820,582.8896,585.0936,580.9749,584.2759,1036700
20140821,581.7728,582.8997,579.5489,582.2215,914800
20140822,580.9650,583.6337,579.0502,581.9922,789100
20140825,578.6115,583.3983,577.4147,583.1190,1361400
20140826,576.2778,580.2070,575.0013,579.6685,1639700
20140827,569.4366,576.9061,568.5421,575.6895,1703400
20140828,567.6415,571.6804,565.5472,568.0005,1292900
20140829,570.0349,570.4738,565.5164,569.7657,1083800
20140902,575.7493,576.2479,569.6261,570.2842,1578400
20140903,576.3576,581.3938,573.4257,578.4120,1215100
20140904,580.3865,584.3956,577.6341,578.4120,1458200
20140905,584.4753,584.9440,580.3566,582.3810,1632400
20140908,588.1053,590.1498,584.6947,584.9939,1431000
20140909,579.4192,587.3873,578.4120,587.2877,1287200
20140910,581.5035,581.9024,575.3604,579.9078,977400
20140911,579.7582,580.2170,574.6822,578.7710,1221000
20140912,574.0439,580.0475,572.8871,579.4092,1601700
20140915,571.5308,573.3758,566.6543,571.3713,1597600
20140916,578.3621,579.9078,571.0920,571.1918,1480400
20140917,583.1689,585.9114,577.1904,578.4219,1692800
20140918,587.6566,587.9258,583.3983,585.3928,1444600
20140919,594.4479,594.8468,587.8860,589.8805,3736600
20140922,585.7618,592.3228,581.8625,592.1942,1689500
20140923,579.5389,585.2432,579.4092,585.2432,1471400
20140924,586.3801,588.0156,578.9305,579.8680,1728100
20140925,573.4855,586.3701,572.6079,585.9413,1926000
20140926,575.5199,577.6640,573.0865,574.4828,1443700
20140929,574.7819,576.6069,569.6061,570.1846,1282400
20140930,575.7792,578.2624,571.2815,575.3503,1621700
20141001,566.7141,575.9986,565.4575,574.4329,1445500
20141002,568.5192,570.3441,561.7776,565.7567,1178400
20141003,573.7049,575.6445,570.9325,571.4810,1141700
20141006,575.7692,579.4092,572.8672,577.2152,1214600
20141007,562.1965,573.6949,562.1965,572.8273,1911300
20141008,570.9325,572.3087,555.9636,564.0215,1990900
20141009,559.3444,569.9252,557.5293,569.6161,2524800
20141010,542.9992,563.5827,542.5604,556.1929,3081900
20141013,531.7501,547.9955,531.6404,543.4978,2581700
20141014,536.4671,545.6918,531.7101,537.4245,2222600
20141015,528.5788,531.3412,516.8809,529.5561,3719400
20141016,523.0739,527.9804,513.5900,517.5790,3708600
20141017,509.7704,529.5262,507.1377,525.8064,5539400
20141020,519.4140,520.3314,506.7088,508.0551,2607500
20141021,525.0983,525.3477,517.6887,523.7520,2336300
20141022,531.2515,538.3220,527.3521,528.4392,2919300
