values:Date,close,high,low,open,volume
20140602,27.2600,27.3500,27.1200,27.3100,20264900
20140603,27.6600,27.7000,27.1200,27.2200,33256300
20140604,27.6000,27.7600,27.5000,27.5100,21612500
20140605,27.6600,27.6600,27.4300,27.5600,26546200
20140606,28.1700,28.2100,27.7300,27.7800,34795600
20140609,27.9100,28.4200,27.8300,28.1000,39933000
20140610,28.2400,28.3300,27.7200,27.8500,34256900
20140611,27.9300,28.2100,27.8000,28.1400,27747700
20140612,27.9600,28.1000,27.7700,27.8600,31211400
20140613,29.8700,30.0600,29.5600,29.7500,122194304
20140616,30.0100,30.1500,29.6700,29.7200,36407800
20140617,29.9500,30.1000,29.8400,29.8800,28440600
20140618,29.9300,29.9800,29.6700,29.8800,34412300
20140619,30.0900,30.0900,29.8900,29.9700,27166600
20140620,30.2000,30.2000,30.0300,30.0700,39826400
20140623,30.2300,30.3100,29.8500,30.1000,26528900
20140624,30.5000,30.8300,30.0900,30.1600,53397600
20140625,30.8800,31.0000,30.4500,30.4800,44293300
20140626,30.7800,30.9000,30.6100,30.8100,26722300
20140627,30.9300,31.0000,30.7000,30.8700,30776300
20140630,30.9000,31.0000,30.6600,30.8700,21558400
20140701,30.9800,31.0900,30.8700,30.9900,28240000
20140702,30.9800,31.0500,30.8000,30.9900,16831200
20140703,31.1400,31.3600,31.0200,31.0800,20437600
20140707,31.0300,31.2000,30.9200,31.0900,22233400
20140708,30.7900,31.0800,30.7000,31.0000,37608700
20140709,30.8900,30.9800,30.6900,30.8400,28302400
20140710,31.2600,31.3300,30.4400,30.6000,32455100
20140711,31.2500,31.4500,31.0400,31.2600,20045000
20140714,31.4900,31.5800,31.3400,31.4100,24244600
20140715,31.7100,31.8000,31.1600,31.5800,61006100
20140716,34.6500,34.7400,33.2100,33.3100,135893200
20140717,33.7000,34.3600,33.6300,34.2000,70591104
20140718,33.7000,33.8400,33.3900,33.8000,46528800
20140721,34.0600,34.2300,33.5400,33.5500,32097200
20140722,34.7900,34.8300,34.0700,34.1600,42915100
20140723,34.5000,34.7100,34.3000,34.6800,26077000
20140724,34.2500,34.6700,34.1000,34.3800,33180400
20140725,34.2500,34.3700,33.9300,34.1500,31614000
20140728,34.2300,34.3200,33.8800,34.2300,30972200
20140729,34.1900,34.3700,34.0900,34.2700,26141700
20140730,34.3500,34.5700,34.0400,34.3100,32782800
20140731,33.8900,34.2500,33.8100,34.0900,35431200
20140801,33.7400,34.0300,33.6100,33.7500,33472400
20140804,34.0500,34.0900,33.5500,33.7900,27250100
20140805,32.8200,33.7800,32.6000,33.7600,49845100
20140806,32.8500,33.1900,32.3900,32.6000,27923900
20140807,32.6800,33.1500,32.5400,32.9300,27820100
20140808,32.6000,33.0000,32.5400,32.7800,35484000
20140811,33.0200,33.2400,32.8100,32.8200,27718600
20140812,33.1300,33.1500,32.6800,32.9100,24805600
20140813,34.1000,34.1500,33.2300,33.2400,36291000
20140814,33.9400,34.2300,33.7400,34.0500,25458000
20140815,34.1700,34.2100,33.7100,34.1000,28577600
20140818,34.4100,34.4700,33.9800,34.2600,27232200
20140819,34.3400,34.5000,34.2500,34.5000,29281900
20140820,34.5000,34.5100,34.1800,34.2300,27140300
20140821,35.1500,35.1900,34.4500,34.4600,37164900
20140822,34.9400,35.2000,34.9100,35.2000,21196700
20140825,34.8100,35.1500,34.6500,35.0900,18614500
20140826,34.8000,35.0500,34.6900,34.7900,19664700
20140827,34.7900,34.9400,34.6300,34.8900,17168900
20140828,34.6500,34.8100,34.6100,34.6100,18908900
20140829,34.9200,34.9400,34.6700,34.8100,32302800
20140902,34.5700,34.9100,34.4300,34.7600,32094800
20140903,34.5700,34.8800,34.4500,34.8200,26668800
20140904,34.9100,35.0900,34.5200,34.5300,27632400
20140905,35.0000,35.1200,34.8300,34.9200,20841900
20140908,35.3300,35.5600,34.8800,34.9600,24859600
20140909,34.9100,35.2900,34.8500,35.2900,22333100
20140910,35.0200,35.1300,34.6700,34.8500,19964200
20140911,35.0200,35.0200,34.5300,34.7900,21949000
20140912,34.6200,34.9100,34.5000,34.9000,26732600
20140915,34.5400,34.7700,34.2300,34.7100,22438000
20140916,34.9300,35.0800,34.4700,34.4700,20875700
20140917,34.9800,35.2000,34.7400,34.9100,26278900
20140918,35.1700,35.1700,34.8600,35.1200,23809600
20140919,34.8200,35.2200,34.8200,35.1600,46851900
20140922,34.7100,35.0300,34.5500,34.7800,25447700
20140923,34.4200,34.7100,34.3800,34.7100,25690700
20140924,34.7500,34.8500,34.3700,34.4000,18829000
20140925,34.1400,34.7900,33.8800,34.6800,34639700
20140926,34.2600,34.3600,33.6300,34.2600,25882300
20140929,34.9000,34.9900,33.9400,34.0600,29003100
20140930,34.8200,35.0000,34.4100,34.9000,35274600
20141001,33.9900,34.7800,33.8400,34.6100,35086600
20141002,33.5200,34.0000,33.2600,33.9600,32910800
20141003,34.0300,34.1800,33.4700,33.6600,25834600
20141006,34.1100,34.4800,33.8700,34.1500,24321100
20141007,33.4700,34.0500,33.4200,34.0400,25972100
20141008,34.2700,34.3700,33.1400,33.4900,34960600
20141009,33.6200,34.4300,33.5800,34.1500,28185700
20141010,31.9100,32.8600,30.5000,32.6200,80917600
20141013,31.4700,32.3700,31.4700,31.7200,42110200
20141014,32.1400,32.6700,31.7100,31.9900,68671000
20141015,31.2800,31.6500,29.6500,30.5400,92305200
20141016,30.8500,31.5100,30.7500,30.8900,47787400
20141017,31.3800,31.7100,30.9700,31.2000,37504500
20141020,31.5800,31.7000,30.9000,31.0400,30523700
20141021,32.6100,32.6200,31.5800,31.6700,33278400
20141022,32.2700,32.8700,32.2200,32.6600,26725600
20141023,32.6900,32.9100,32.6000,32.7200,22254900
20141024,33.1800,33.3300,32.5700,32.7200,27814300
20141027,33.2000,33.3000,32.7700,33.0800,23751900
20141028,33.7400,33.7500,33.2300,33.2300,21857800
20141029,33.9200,33.9700,33.5100,33.7600,24615200
20141030,32.5800,33.6100,32.4000,33.5800,55217900
20141031,34.0100,34.0100,32.6300,33.7400,52089700
20141103,34.3100,34.4800,33.7900,33.8100,28703600
20141104,34.5400,34.7800,34.2100,34.2500,34695900
20141105,33.7600,34.1000,33.6000,34.0500,34705500
20141106,33.8200,34.2300,33.4100,33.6900,25240600
20141107,33.5800,34.0000,33.1900,33.9800,27604500
20141110,33.2600,33.4900,33.0800,33.4300,30653600
20141111,33.3100,33.5400,33.2000,33.3600,19676600
20141112,33.3800,33.4200,33.0000,33.2300,22854400
20141113,33.6800,33.8600,33.3400,33.3500,26447400
20141114,33.9500,33.9700,33.3500,33.7500,18102500
20141117,34.2400,34.2500,33.7600,33.8200,17646000
20141118,34.7100,34.9000,34.1600,34.1900,30674800
20141119,34.3500,34.7900,34.2500,34.6900,21289500
20141120,35.9500,35.9700,34.0000,34.1400,61994700
20141121,35.5900,36.4600,35.5000,35.9800,56720400
20141124,36.2500,36.4300,35.8400,35.8900,33317900
20141125,36.3200,36.4800,36.1500,36.3600,29088500
20141126,36.9000,36.9900,36.2800,36.3700,24060000
20141128,37.2500,37.6900,36.9400,37.0400,19128500
20141201,37.1700,37.6200,36.9000,37.2100,30904000
20141202,37.6000,37.6000,37.1800,37.1800,28343700
20141203,37.4300,37.8900,37.4100,37.6800,30660800
20141204,37.4600,37.4600,37.0400,37.4000,23359100
20141205,37.6700,37.9000,37.5200,37.5700,20527600
20141208,37.2000,37.7300,36.9400,37.4600,28134800
20141209,36.8900,37.0900,36.3000,36.6700,28487300
20141210,36.4200,37.0200,36.3000,36.9300,27499900
20141211,36.7000,37.2100,36.4400,36.5000,25088200
20141212,36.2300,36.8200,36.2200,36.4500,29322500
20141215,35.9200,36.7800,35.9000,36.3900,30633400
20141216,35.5600,36.5000,35.5600,35.8600,31166300
20141217,36.2400,36.3300,35.3300,35.6200,31637700
20141218,37.0200,37.0200,36.4300,36.7500,32128100
20141219,36.3700,37.1600,36.2300,37.0200,76786800
20141222,37.2100,37.2600,36.3900,36.3900,29227100
20141223,37.4300,37.7000,37.3000,37.4000,22169700
20141224,37.4400,37.6000,37.1800,37.4700,12109100
20141226,37.5500,37.7400,37.5200,37.5200,14037200
20141229,37.1800,37.5200,37.1700,37.4500,12203300
20141230,36.7600,37.1900,36.7600,37.0800,15214100
20141231,36.2900,37.0400,36.2900,36.6300,20393600
20150102,36.3600,37.1600,36.1100,36.6700,23605600
